id,host_id,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location
6499,14455,1,Belm,Lisboa,38.697500,-9.197680,Entire rental unit,Entire home/apt,4,1,1,1,40,3,32,4.5,4.39,4.38,4.81
25659,107347,1,Santa Maria Maior,Lisboa,38.712410,-9.127060,Entire rental unit,Entire home/apt,3,1,1,1,50,2,127,4.81,4.89,4.88,4.88
29248,125768,4,Santa Maria Maior,Lisboa,38.710820,-9.127190,Entire rental unit,Entire home/apt,4,1,1,2,60,5,337,4.56,4.63,4.38,4.82
29396,126415,2,Santa Maria Maior,Lisboa,38.711560,-9.129870,Entire rental unit,Entire home/apt,4,1,1,1,60,2,299,4.8,4.84,4.82,4.88
29720,128075,2,Estrela,Lisboa,38.711080,-9.159790,Entire rental unit,Entire home/apt,16,8,9,13,957,2,64,4.92,4.89,4.84,4.83
29915,128890,1,Avenidas Novas,Lisboa,38.745710,-9.152640,Entire rental unit,Entire home/apt,3,1,1,0,50,5,46,4.68,4.9,4.88,4.67
33348,144484,0,Lumiar,Lisboa,38.764270,-9.153010,Private room in rental unit,Private room,6,2,1,3,40,1,2,5,5,4.5,4.5
40817,176410,14,Misericrdia,Lisboa,38.709030,-9.143130,Entire rental unit,Entire home/apt,2,1,1,1,122,1,363,4.39,4.56,4.48,4.81
42519,136230,8,Misericrdia,Lisboa,38.710620,-9.149000,Entire rental unit,Entire home/apt,2,1,1,1,50,1,120,4.44,4.45,4.62,4.75
48058,218990,1,Cascais e Estoril,Cascais,38.696500,-9.425710,Entire residential home,Entire home/apt,4,1,1,2,80,5,33,4.94,4.94,4.69,4.97
49673,225364,1,Alenquer (Santo Estvo e Triana),Alenquer,39.059650,-9.047330,Entire cottage,Entire home/apt,8,5,4,7,230,7,6,5,5,4.17,4.83
50108,229376,2,Estrela,Lisboa,38.703880,-9.165460,Entire rental unit,Entire home/apt,4,2,1,1,75,2,37,4.52,4.7,4.43,4.52
56906,270457,9,So Vicente,Lisboa,38.718510,-9.124390,Entire rental unit,Entire home/apt,2,1,1,1,47,3,150,4.62,4.74,4.63,4.49
83700,456477,3,Cascais e Estoril,Cascais,38.700180,-9.432720,Entire rental unit,Entire home/apt,4,1,0,2,49,3,166,4.65,4.77,4.59,4.54
83933,335614,2,So Vicente,Lisboa,38.719852,-9.129011,Entire rental unit,Entire home/apt,2,1,1,1,57,2,220,4.44,4.54,4.31,4.66
84599,181902,29,Santa Maria Maior,Lisboa,38.710600,-9.136890,Entire rental unit,Entire home/apt,5,1,2,3,137,1,74,4.65,4.78,4.93,4.89
89015,485573,1,Misericrdia,Lisboa,38.712990,-9.150040,Entire residential home,Entire home/apt,4,1,2,3,95,3,28,4.74,4.81,4.85,4.85
93829,183877,1,So Vicente,Lisboa,38.717220,-9.130190,Entire guest suite,Entire home/apt,2,1,1,1,51,1,59,4.49,4.51,4.68,4.83
95212,502806,1,Misericrdia,Lisboa,38.709010,-9.151580,Entire rental unit,Entire home/apt,6,1,3,4,80,3,76,4.7,4.83,4.77,4.61
97503,515924,11,Santo Antnio,Lisboa,38.721290,-9.142200,Private room in rental unit,Private room,1,2,1,1,22,20,43,4.19,4.27,3.72,4.62
103252,538753,7,So Vicente,Lisboa,38.718250,-9.129020,Entire rental unit,Entire home/apt,4,1,1,1,60,2,73,4.73,4.82,4.89,4.85
112497,574017,3,Cascais e Estoril,Cascais,38.699220,-9.440530,Entire condominium (condo),Entire home/apt,4,2,1,2,99,4,11,5,4.73,4.91,4.73
119120,387186,8,Estrela,Lisboa,38.709270,-9.161220,Entire rental unit,Entire home/apt,4,1,2,2,68,3,249,4.87,4.91,4.91,4.72
125578,624049,2,Santa Maria Maior,Lisboa,38.713410,-9.135190,Entire rental unit,Entire home/apt,2,1,1,1,59,3,215,4.68,4.8,4.72,4.79
125848,624278,8,So Vicente,Lisboa,38.714780,-9.124100,Entire rental unit,Entire home/apt,3,1,1,1,69,3,143,4.37,4.57,4.42,4.8
126646,628095,3,Penha de Frana,Lisboa,38.729830,-9.131830,Private room in rental unit,Private room,3,1,1,3,26,1,292,4.57,4.7,4.69,4.49
129786,626177,2,Misericrdia,Lisboa,38.708530,-9.146130,Entire serviced apartment,Entire home/apt,6,2,4,4,103,2,3,5,4.5,5,5
130708,643374,2,Arroios,Lisboa,38.718060,-9.137380,Private room in rental unit,Private room,2,1,1,1,28,3,193,4.64,4.68,4.48,4.76
130799,643762,2,Carcavelos e Parede,Cascais,38.686470,-9.329890,Private room in villa,Private room,10,0,5,5,66,6,15,4.25,4.23,3.62,3.69
133645,656138,2,Santa Maria Maior,Lisboa,38.710910,-9.132510,Entire rental unit,Entire home/apt,3,1,1,2,49,2,286,4.7,4.69,4.56,4.94
134438,659768,2,So Vicente,Lisboa,38.718410,-9.123300,Entire rental unit,Entire home/apt,2,1,1,1,50,2,199,4.5,4.63,4.51,4.56
135261,663233,1,Misericrdia,Lisboa,38.712980,-9.145410,Entire rental unit,Entire home/apt,4,1,2,2,50,7,232,4.76,4.85,4.87,4.89
137054,656138,2,Santa Maria Maior,Lisboa,38.712360,-9.131290,Entire rental unit,Entire home/apt,3,1,1,2,50,2,217,4.78,4.78,4.66,4.95
137461,218778,5,Misericrdia,Lisboa,38.714130,-9.144250,Entire rental unit,Entire home/apt,2,1,1,1,65,7,2,4.5,4,4,5
138542,676330,9,Santo Antnio,Lisboa,38.718210,-9.153980,Entire rental unit,Entire home/apt,4,1,2,3,69,4,1,5,5,5,5
138929,677938,1,Santa Maria Maior,Lisboa,38.712310,-9.129180,Entire rental unit,Entire home/apt,2,1,1,2,40,2,378,4.84,4.9,4.87,4.87
140080,682628,9,Misericrdia,Lisboa,38.713080,-9.145140,Entire rental unit,Entire home/apt,12,2,5,5,132,2,29,4.07,4.14,4.14,4.72
141883,688914,36,Cascais e Estoril,Cascais,38.696100,-9.422150,Entire rental unit,Entire home/apt,2,1,0,1,63,2,33,4.63,4.85,4.73,4.97
144851,701650,10,Misericrdia,Lisboa,38.712610,-9.144560,Entire rental unit,Entire home/apt,4,1,1,1,90,2,89,4.72,4.94,4.77,4.88
144955,702053,1,Arroios,Lisboa,38.721650,-9.140790,Entire rental unit,Entire home/apt,4,1,2,2,48,3,16,4.94,4.81,4.5,4.81
147738,713828,2,So Vicente,Lisboa,38.715500,-9.132030,Entire rental unit,Entire home/apt,4,2,2,2,143,2,14,4.85,4.85,4.85,4.77
148344,716185,1,Colares,Sintra,38.788080,-9.459990,Entire cottage,Entire home/apt,6,2,3,5,130,5,42,4.95,4.85,4.76,4.85
149274,676330,9,Misericrdia,Lisboa,38.709960,-9.152060,Entire rental unit,Entire home/apt,4,1,1,2,60,3,113,4.72,4.77,4.85,4.76
149589,721565,3,Santa Maria Maior,Lisboa,38.713310,-9.133140,Entire rental unit,Entire home/apt,3,1,1,2,64,1,151,4.87,4.88,4.96,4.84
151327,727771,16,Santa Maria Maior,Lisboa,38.712270,-9.129420,Entire rental unit,Entire home/apt,2,1,1,1,55,3,424,4.72,4.71,4.89,4.82
151909,731092,4,Rio de Mouro,Sintra,38.758310,-9.340340,Private room in residential home,Private room,2,1,1,1,45,2,3,4.67,5,4.33,4.33
155865,749485,1,Alcntara,Lisboa,38.705460,-9.175790,Entire rental unit,Entire home/apt,6,1,2,3,65,2,148,4.75,4.81,4.74,4.55
158255,743285,1,Estrela,Lisboa,38.709940,-9.154420,Entire rental unit,Entire home/apt,4,2,2,2,250,31,2,5,5,5,5
161476,772370,1,Santa Maria Maior,Lisboa,38.713580,-9.134540,Private room in rental unit,Private room,2,1,1,1,31,2,165,4.87,4.9,4.95,4.93
166114,791812,2,Santa Maria Maior,Lisboa,38.714150,-9.140530,Entire rental unit,Entire home/apt,3,1,1,2,57,4,192,4.84,4.9,4.9,4.97
172248,507901,4,Alvalade,Lisboa,38.747360,-9.131910,Private room in rental unit,Private room,2,1,1,1,30,5,46,4.45,4.6,4.67,4.33
172638,823780,3,Santa Maria Maior,Lisboa,38.710430,-9.130870,Entire rental unit,Entire home/apt,2,1,1,1,79,2,409,4.93,4.92,4.89,4.93
174064,830888,3,Misericrdia,Lisboa,38.714210,-9.150850,Entire rental unit,Entire home/apt,6,2,3,4,77,4,141,4.68,4.74,4.66,4.76
174529,833952,3,So Vicente,Lisboa,38.717690,-9.133310,Entire rental unit,Entire home/apt,4,0,1,1,78,4,87,4.51,4.65,4.34,4.65
176153,842219,2,Misericrdia,Lisboa,38.707810,-9.145100,Entire rental unit,Entire home/apt,4,1,2,3,64,1,714,4.89,4.91,4.95,4.92
178515,753902,6,Santa Maria Maior,Lisboa,38.711330,-9.130930,Entire rental unit,Entire home/apt,6,2,3,3,65,3,160,4.63,4.74,4.53,4.81
178524,753902,6,Santa Maria Maior,Lisboa,38.709160,-9.132220,Entire rental unit,Entire home/apt,6,3,3,3,85,3,263,4.64,4.71,4.55,4.84
181219,412702,1,Misericrdia,Lisboa,38.712710,-9.150250,Entire rental unit,Entire home/apt,2,1,0,1,49,3,41,4.56,4.68,4.68,4.88
186996,899179,7,Santa Maria Maior,Lisboa,38.716770,-9.133590,Entire rental unit,Entire home/apt,2,1,1,1,67,4,79,4.58,4.65,4.81,4.7
187442,901710,2,Santa Maria Maior,Lisboa,38.710950,-9.131920,Entire rental unit,Entire home/apt,4,1,2,2,74,2,425,4.85,4.85,4.93,4.92
189676,915146,3,Misericrdia,Lisboa,38.709970,-9.148640,Entire loft,Entire home/apt,2,1,0,1,94,28,227,4.98,4.98,4.99,4.95
193321,515924,11,Santo Antnio,Lisboa,38.719710,-9.143390,Private room in rental unit,Private room,1,2,1,1,25,10,24,4.74,4.32,3.5,4.59
198480,640147,1,Lumiar,Lisboa,38.775960,-9.151010,Entire rental unit,Entire home/apt,2,1,1,2,39,14,25,4.67,4.79,4.92,4.35
199461,914126,18,Santa Maria Maior,Lisboa,38.710950,-9.136730,Entire rental unit,Entire home/apt,5,2,2,3,105,2,110,4.94,4.95,4.97,4.97
208683,753902,6,Santa Maria Maior,Lisboa,38.710520,-9.133650,Entire rental unit,Entire home/apt,4,2,2,2,60,3,124,4.7,4.75,4.66,4.92
211614,758277,2,Cascais e Estoril,Cascais,38.710150,-9.407460,Entire condominium (condo),Entire home/apt,3,1,1,5,55,3,59,4.42,4.61,4.64,4.71
214729,1108485,2,Alvalade,Lisboa,38.748250,-9.145900,Private room in rental unit,Private room,1,1,1,1,30,4,31,4.87,4.81,4.94,4.84
217187,1121762,1,Santa Maria Maior,Lisboa,38.712250,-9.127770,Entire rental unit,Entire home/apt,2,1,1,1,70,2,184,4.72,4.83,4.77,4.87
217281,1108485,2,Alvalade,Lisboa,38.748770,-9.147800,Private room in rental unit,Private room,1,1,1,1,22,5,5,5,5,5,5
218584,1130719,1,Colares,Sintra,38.793250,-9.478540,Entire rental unit,Entire home/apt,3,1,2,3,80,5,24,4.83,4.87,4.92,4.68
220830,763034,5,Igreja Nova e Cheleiros,Mafra,38.889910,-9.310290,Tiny house,Entire home/apt,2,1,2,2,60,2,29,4.45,4.48,4.34,4.59
220831,763034,5,Igreja Nova e Cheleiros,Mafra,38.891560,-9.310590,Entire residential home,Entire home/apt,6,2,3,7,150,2,9,4.44,4.78,4.67,4.56
222942,1157493,1,Arroios,Lisboa,38.731240,-9.133640,Private room in rental unit,Private room,2,1,1,1,54,1,4,4.5,4.5,4,4.25
229846,624278,8,So Vicente,Lisboa,38.714780,-9.124100,Entire rental unit,Entire home/apt,3,1,1,1,45,3,149,4.39,4.48,4.3,4.72
231329,1171644,1,Carcavelos e Parede,Cascais,38.687270,-9.336870,Entire guest suite,Entire home/apt,3,1,1,2,35,3,110,4.73,4.73,4.72,4.81
231385,1208572,33,Areeiro,Lisboa,38.743130,-9.139850,Private room in rental unit,Private room,2,1,1,1,35,1,43,4.81,4.91,4.81,4.83
234910,1230207,1,Cascais e Estoril,Cascais,38.699140,-9.419980,Entire rental unit,Entire home/apt,5,0,1,1,60,3,92,4.56,4.65,4.43,4.9
236138,1237805,1,Misericrdia,Lisboa,38.713310,-9.146080,Entire rental unit,Entire home/apt,3,1,1,1,49,22,76,4.66,4.89,4.89,4.83
239335,1255095,1,Santa Maria Maior,Lisboa,38.712360,-9.134970,Entire rental unit,Entire home/apt,2,1,1,1,135,3,27,4.92,4.96,4.77,5
244494,1282676,22,Santa Maria Maior,Lisboa,38.710940,-9.139990,Entire rental unit,Entire home/apt,6,2,2,3,135,3,6,4.83,4.8,4.8,5
249727,1308681,1,Colares,Sintra,38.839810,-9.460960,Entire residential home,Entire home/apt,6,1,3,4,200,6,27,4.5,4.74,4.41,4.89
250288,647439,4,Santa Maria Maior,Lisboa,38.713790,-9.135210,Entire loft,Entire home/apt,2,1,1,1,50,7,422,4.67,4.8,4.75,4.81
250491,1312785,15,Arroios,Lisboa,38.716860,-9.140140,Entire rental unit,Entire home/apt,2,1,1,1,68,3,36,4.81,4.89,4.89,4.61
250526,1313374,18,Misericrdia,Lisboa,38.710040,-9.152090,Entire rental unit,Entire home/apt,3,1,1,2,55,1,183,4.87,4.91,4.95,4.88
256093,1346663,1,Misericrdia,Lisboa,38.709960,-9.152370,Entire rental unit,Entire home/apt,2,1,1,1,69,3,319,4.85,4.83,4.81,4.9
257480,152243043,17,So Vicente,Lisboa,38.713430,-9.125570,Entire rental unit,Entire home/apt,2,1,1,1,70,3,342,4.72,4.86,4.78,4.89
257560,1328660,1,Santa Maria Maior,Lisboa,38.710810,-9.128160,Entire loft,Entire home/apt,4,1,1,0,58,3,250,4.72,4.8,4.65,4.86
261733,1373142,1,Misericrdia,Lisboa,38.711650,-9.146300,Entire rental unit,Entire home/apt,4,1,2,3,60,3,326,4.69,4.75,4.74,4.73
262616,996180,1,Santo Antnio,Lisboa,38.717740,-9.154870,Entire rental unit,Entire home/apt,4,1,1,1,100,3,53,4.75,4.71,4.75,4.62
263399,405842,8,Campolide,Lisboa,38.727290,-9.163170,Entire rental unit,Entire home/apt,6,1,3,3,70,28,24,4.28,4.4,4.4,3.95
266659,1398359,1,Misericrdia,Lisboa,38.712570,-9.152100,Private room in rental unit,Private room,2,1,1,1,103,2,6,4.17,4.33,4.33,4.5
267235,1039097,9,Santo Antnio,Lisboa,38.722500,-9.154880,Entire rental unit,Entire home/apt,5,1,2,2,72,3,83,4.09,4.21,3.94,4.61
271430,1416183,17,Santa Maria Maior,Lisboa,38.712910,-9.142340,Entire rental unit,Entire home/apt,4,1,2,2,119,2,105,4.83,4.88,4.82,4.92
272438,1416183,17,Santa Maria Maior,Lisboa,38.712910,-9.142340,Entire rental unit,Entire home/apt,4,1,1,1,88,3,75,4.76,4.82,4.82,4.92
273835,1432350,9,Carcavelos e Parede,Cascais,38.692190,-9.358870,Entire chalet,Entire home/apt,6,1,3,6,85,3,21,4.55,4.6,4.3,4.74
279549,1457564,5,Misericrdia,Lisboa,38.710010,-9.143740,Entire rental unit,Entire home/apt,7,3,3,4,155,3,231,4.91,4.95,4.96,4.92
281407,1466881,11,Santo Antnio,Lisboa,38.726210,-9.143180,Entire rental unit,Entire home/apt,10,3,3,5,150,3,3,3.67,4.67,4.67,4.67
286153,1489229,2,Campolide,Lisboa,38.728510,-9.166440,Shared room in rental unit,Shared room,2,1,1,2,20,2,49,4.51,4.49,4.04,4.43
286706,1466881,11,Santo Antnio,Lisboa,38.724860,-9.143290,Entire rental unit,Entire home/apt,6,1,1,3,120,3,9,4.22,4.5,4.63,4.25
290898,1489229,2,Campolide,Lisboa,38.729320,-9.165660,Private room in rental unit,Private room,2,1,1,2,15,1,3,4.67,5,4.67,4.67
291676,682628,9,Misericrdia,Lisboa,38.713080,-9.145140,Entire rental unit,Entire home/apt,8,2,3,4,110,2,8,4.5,4.63,4.5,4.88
297131,1532497,1,Cascais e Estoril,Cascais,38.699010,-9.439800,Entire condominium (condo),Entire home/apt,4,1,1,3,82,3,35,4.77,4.74,4.68,4.59
299321,9416641,3,Santo Antnio,Lisboa,38.721300,-9.144370,Entire rental unit,Entire home/apt,2,1,1,1,63,3,563,4.88,4.91,4.82,4.86
301264,1552056,9,Arroios,Lisboa,38.721990,-9.140020,Entire rental unit,Entire home/apt,6,1,2,3,74,2,76,4.72,4.84,4.74,4.72
301871,1552056,9,Santo Antnio,Lisboa,38.724190,-9.147400,Entire rental unit,Entire home/apt,4,1,1,1,79,3,88,4.85,4.94,4.85,4.91
303692,1552056,9,Arroios,Lisboa,38.721380,-9.139450,Entire rental unit,Entire home/apt,6,1,2,2,69,1,120,4.68,4.79,4.75,4.53
304025,682628,9,Misericrdia,Lisboa,38.713080,-9.145140,Entire rental unit,Entire home/apt,7,1,3,4,120,2,19,4.16,4,4.33,4.44
306191,1574678,1,Misericrdia,Lisboa,38.712790,-9.145030,Entire rental unit,Entire home/apt,4,1,1,2,59,3,420,4.59,4.72,4.59,4.83
307666,1582924,1,Parque das Naes,Lisboa,38.778700,-9.096340,Entire condominium (condo),Entire home/apt,4,1,1,1,63,3,10,4.78,4.78,4.89,4.78
307683,727771,16,Santa Maria Maior,Lisboa,38.711430,-9.127780,Entire rental unit,Entire home/apt,2,1,0,1,49,3,320,4.7,4.88,4.86,4.85
311040,1599678,3,Santa Maria Maior,Lisboa,38.712350,-9.127500,Entire rental unit,Entire home/apt,4,1,1,2,85,3,1,5,5,5,5
311047,1599678,3,Santa Maria Maior,Lisboa,38.712520,-9.129110,Entire rental unit,Entire home/apt,4,1,1,2,52,2,5,4,3.75,5,4
322250,1650383,3,Cascais e Estoril,Cascais,38.704920,-9.399860,Entire cabin,Entire home/apt,5,1,2,3,100,4,122,4.69,4.77,4.73,4.85
324364,1659960,56,Lourinh e Atalaia,Lourinh,39.274230,-9.318980,Entire residential home,Entire home/apt,16,4,5,17,400,3,6,5,4.8,5,4.8
327792,1664323,4,Arroios,Lisboa,38.734750,-9.144000,Private room in rental unit,Private room,2,2,2,2,26,5,49,4.51,4.72,4.76,4.76
327945,1675942,2,Santa Maria Maior,Lisboa,38.709430,-9.137220,Entire rental unit,Entire home/apt,3,1,0,2,55,2,406,4.78,4.85,4.86,4.93
333311,1695029,6,So Vicente,Lisboa,38.716330,-9.131070,Entire rental unit,Entire home/apt,3,1,1,1,55,3,349,4.78,4.87,4.82,4.67
335344,1707481,1,Misericrdia,Lisboa,38.713860,-9.144830,Entire rental unit,Entire home/apt,6,1,2,3,75,3,158,4.63,4.8,4.6,4.87
336832,701650,10,Santa Maria Maior,Lisboa,38.712480,-9.129610,Entire rental unit,Entire home/apt,6,1,2,1,80,2,164,4.5,4.6,4.43,4.91
344035,1730158,1,Misericrdia,Lisboa,38.711120,-9.147990,Entire rental unit,Entire home/apt,5,1,2,2,74,3,47,4.72,4.91,4.89,4.96
344928,1749764,0,Alcntara,Lisboa,38.700450,-9.192390,Private room in rental unit,Private room,2,1,1,1,50,5,15,4.53,4.5,4.79,4.57
349459,1770472,1,Santa Maria Maior,Lisboa,38.714180,-9.135720,Entire rental unit,Entire home/apt,2,1,1,1,61,3,99,4.91,4.9,4.97,4.89
349971,1466881,11,Santo Antnio,Lisboa,38.726590,-9.145220,Entire rental unit,Entire home/apt,12,2,5,6,200,3,5,4.8,4.8,5,5
349974,1466881,11,Santo Antnio,Lisboa,38.724880,-9.145110,Entire rental unit,Entire home/apt,10,3,3,2,150,3,5,4.5,4,4.6,3.6
349975,1466881,11,Santo Antnio,Lisboa,38.725410,-9.145190,Entire rental unit,Entire home/apt,4,1,2,2,75,3,5,4,4.6,4.8,4.6
351289,1779418,2,Reguengo Grande,Lourinh,39.289270,-9.217050,Entire cottage,Entire home/apt,6,1,3,5,80,5,73,4.71,4.76,4.52,4.58
354431,1794425,2,Misericrdia,Lisboa,38.714460,-9.151790,Entire rental unit,Entire home/apt,6,2,2,0,95,3,161,4.88,4.9,4.93,4.93
362562,405842,8,Campolide,Lisboa,38.727000,-9.164780,Entire rental unit,Entire home/apt,4,2,2,3,60,4,14,4.58,4.5,4.42,4.08
364652,1836346,1,Arroios,Lisboa,38.718170,-9.139400,Entire rental unit,Entire home/apt,2,1,1,1,80,7,229,4.9,4.93,4.93,4.81
369360,1593947,12,Santo Antnio,Lisboa,38.716650,-9.146270,Private room in rental unit,Private room,2,1,1,1,30,6,185,4.82,4.81,4.59,4.94
379156,1039097,9,Estrela,Lisboa,38.704980,-9.171560,Entire rental unit,Entire home/apt,4,1,1,1,31,3,11,4.18,4.27,4.36,4.36
385235,1928060,1,Misericrdia,Lisboa,38.715350,-9.151190,Entire rental unit,Entire home/apt,3,1,1,2,80,2,55,4.6,4.74,4.87,4.81
393699,1593947,12,Santo Antnio,Lisboa,38.717240,-9.147550,Private room in rental unit,Private room,2,1,1,3,30,6,149,4.61,4.57,4.48,4.94
393700,1593947,12,Santo Antnio,Lisboa,38.716930,-9.148000,Entire rental unit,Entire home/apt,10,1,3,3,140,4,50,4.76,4.74,4.55,4.89
395874,1165468,3,Misericrdia,Lisboa,38.706910,-9.148460,Entire rental unit,Entire home/apt,2,1,1,1,45,3,175,4.66,4.75,4.64,4.88
396204,1731572,2,Ericeira,Mafra,38.987620,-9.416530,Entire rental unit,Entire home/apt,5,2,2,3,100,3,66,4.66,4.73,4.72,4.75
403260,1654712,7,So Vicente,Lisboa,38.713370,-9.125480,Entire rental unit,Entire home/apt,6,1,2,3,89,5,107,4.63,4.78,4.5,4.87
403760,1654712,7,So Vicente,Lisboa,38.713370,-9.125480,Entire rental unit,Entire home/apt,4,1,1,1,79,5,145,4.74,4.85,4.72,4.87
405399,1788136,3,So Vicente,Lisboa,38.719040,-9.132690,Entire rental unit,Entire home/apt,4,1,2,2,98,2,193,4.39,4.44,4.53,4.82
411639,1654712,7,So Vicente,Lisboa,38.713370,-9.125480,Entire rental unit,Entire home/apt,10,2,3,6,245,3,20,4.84,4.61,4.61,4.83
416929,2073678,2,Arroios,Lisboa,38.733800,-9.133000,Private room in rental unit,Private room,2,1,1,1,21,1,456,4.59,4.75,4.59,4.65
417448,2075804,2,Santo Antnio,Lisboa,38.719560,-9.142550,Entire condominium (condo),Entire home/apt,4,1,1,2,65,4,106,4.79,4.88,4.79,4.93
418945,2083563,3,Belm,Lisboa,38.711560,-9.210460,Private room in rental unit,Private room,2,1,1,1,110,1,2,4.5,5,5,4
422485,1928060,1,Misericrdia,Lisboa,38.713240,-9.151050,Entire rental unit,Entire home/apt,6,1,3,5,120,2,84,4.89,4.89,4.95,4.88
424175,2108826,2,Cascais e Estoril,Cascais,38.707790,-9.393260,Private room in bed and breakfast,Private room,2,1,1,1,50,1,136,4.94,4.96,4.99,4.81
424664,815805,6,Cadaval e Pro Moniz,Cadaval,39.238050,-9.121810,Entire cottage,Entire home/apt,5,1,2,4,65,3,74,4.72,4.74,4.81,4.63
427653,2125391,2,Santa Maria Maior,Lisboa,38.711470,-9.133820,Entire loft,Entire home/apt,3,1,0,2,41,3,141,4.67,4.7,4.63,4.91
428784,914126,18,Santa Maria Maior,Lisboa,38.712960,-9.136300,Entire rental unit,Entire home/apt,5,2,2,3,126,2,63,4.94,4.95,4.87,4.95
